location_id,station_name,city,country_code,country_name,latitude,longitude
6050335,Durres,Durres,AL,Albania,41.3199000002832,19.44919999967179
6050336,Elbasan,Elbasan,AL,Albania,41.11098000005477,20.08170000032985
6050337,Korca,Korca,AL,Albania,40.62593000012697,20.780180000066768
6051398,Shkoder,Shkoder,AL,Albania,42.31389999981128,19.523419999611814
6120340,Fier,Fier,AL,Albania,40.72579999992534,19.55520000035373
6120341,Tirana Center,Tirana,AL,Albania,41.3302699999075,19.821769999807884
6120342,Tirana IPH,Tirana,AL,Albania,41.345599999678,19.85167000003499
9741,Engolasters,Engolasters,AD,Andora,42.51694399984486,1.5652500003218535
9742,Escaldes-Engordany,Escaldes-Engordany,AD,Andora,42.50969400015972,1.5391379998151493
2721,NET.10,Umweltbundesamt,AT,Austria,47.83861109946592,14.441388889
2723,Graz West,,AT,Austria,47.06971030092846,15.40413082902473
2725,AT0KLH1,Steiermark,AT,Austria,46.7527527861509,15.9566845602866
2726,Pöchlarn,,AT,Austria,48.21303662287803,15.207220118745731
2744,Eisenstadt Laschoberstraße,,AT,Austria,47.84001390703444,16.526665608060487
2745,Bad Vöslau - Gainfarn,,AT,Austria,47.959982927256554,16.206955198442348
2746,NET.04,Amt der Oberösterreichischen Landesregierung,AT,Austria,48.22527779946668,14.238888890000002
2747,St. Koloman Kleinhorn,,AT,Austria,47.6505835144072,13.233351944949906
2748,NET.04,Amt der Oberösterreichischen Landesregierung,AT,Austria,48.16499999946656,14.035556000000001
2749,Wolkersdorf,,AT,Austria,48.392243317295836,16.5222638631683
2750,Obervellach Schulzentrum,,AT,Austria,46.935546751351815,13.195532871488474
2751,Wien Hohe Warte - Zentralanstalt für Meteorologie und Geodyn,,AT,Austria,48.249179535401346,16.357782334646014
2752,Wiener Neustadt,2700 Wiener Neustadt,AT,Austria,47.814166999937704,16.254999999598795
2753,Wien Stephansplatz,,AT,Austria,48.20890608925811,16.373862178231754
2754,Wien Kaiserebersdorf,,AT,Austria,48.156916713820294,16.47555146839408
2755,Heiterwang,,AT,Austria,47.44776838195361,10.744210124183125
2756,Purkersdorf,,AT,Austria,48.207229835654985,16.175603995026574
2757,NET.04,Amt der Oberösterreichischen Landesregierung,AT,Austria,48.27444444346679,14.314722200000002
2758,Enns Kristein - A1 Westautobahn,4470 Enns,AT,Austria,48.209443999983016,14.436944000080794
2759,Leoben Donawitz,,AT,Austria,47.37609577232571,15.077503391718873
2760,Krems,,AT,Austria,48.40941979013526,15.620265486383888
2761,Mürzzuschlag Roseggerpark,8680 Mürzzuschlag,AT,Austria,47.604721999960276,15.673056000049757
2762,Ebenthal Zell,,AT,Austria,46.608353123934975,14.398646531509751
2763,Wolfsberg Hauptschule,,AT,Austria,46.83528676580184,14.84421091243303
2764,Grünbach bei Freistadt,4264 Grünbach,AT,Austria,48.53110999980738,14.574722000058197
2765,Salzburg Lehen Martinstraße,,AT,Austria,47.81806181270897,13.029973364625247
2766,Liezen Pyhrnbach,8940 Liezen,AT,Austria,47.56543899973233,14.244675999684107
2767,Vomp A12 Inntalautobahn,,AT,Austria,47.349140139126426,11.693100558798575
2768,St. Georgen im Lavanttal - Herzogberg,,AT,Austria,46.70805049228695,14.89191145401978
2769,Hallein B159,,AT,Austria,47.68306997310881,13.10192841888322
2770,Bruck an der Mur Flurgasse,8600 Bruck an der Mur,AT,Austria,47.40944299996983,15.253333000357205
2771,Graz Mitte Gries,,AT,Austria,47.069159633300636,15.431709108247201
2772,NET.03,Amt der Niederösterreichischen Landesregierung,AT,Austria,48.17972221946659,14.866666670000003
2773,NET.03,Amt der Niederösterreichischen Landesregierung,AT,Austria,48.08388888835528,16.33027777777778
2774,Leoben Göß,,AT,Austria,47.35942506430737,15.098883295480915
2775,Leoben Zentrum,,AT,Austria,47.38303020823199,15.089989974168134
2776,AT60137,,AT,Austria,47.0591699994646,15.016667
2777,Wien Taborstrasse,,AT,Austria,48.21806464890474,16.381947015788832
2778,Sonnblick,,AT,Austria,47.05447306449342,12.958377636480922
2779,Spittal a.d.Drau Oktoberstrasse,,AT,Austria,46.80166114830459,13.495570176384396
2780,St. Andr� i. L. Volksschule,,AT,Austria,46.76388899946424,14.822222200000004
2781,Vomp an der Leiten,,AT,Austria,47.346949008510265,11.691663254343984
2782,Wien Stadlau,,AT,Austria,48.22805937688927,16.46054960314929
2783,Vösendorf,,AT,Austria,48.125026192709605,16.331641359878137
2784,Wien Schafberg,,AT,Austria,48.235838353194374,16.303074933843135
2785,St. Johann im Pongau,,AT,Austria,47.348896684660915,13.20586349725585
2786,Wien Lobau - Grundwasserwerk,,AT,Austria,48.162489526277675,16.526665608060487
2787,Wien Liesing,,AT,Austria,48.13803656081193,16.296696895325887
2788,Wien Laaer Berg,,AT,Austria,48.161410964660504,16.392816630726674
2789,Stockerau West,,AT,Austria,48.38830622538245,16.21450104682895
2942,43H201 - LIEGE,Saint-Nicolas,BE,Belgia,50.624991569679906,5.547464182591416
2943,43R221 - LIEGE,Herstal,BE,Belgia,50.65844441760887,5.627835290438242
3126,43N070 - MONS,Mons,BE,Belgia,50.46519215745776,3.939714325629131
