component,explained,explained_pct,cumulative,cumulative_pct
PC1,0.4541419239995032,45.41419239995032,0.4541419239995032,45.41419239995032
PC2,0.18839514019340384,18.839514019340385,0.642537064192907,64.25370641929071
PC3,0.12179574995115872,12.179574995115871,0.7643328141440657,76.43328141440658
PC4,0.07450559370193843,7.450559370193844,0.8388384078460042,83.88384078460042
PC5,0.06150427282423817,6.150427282423817,0.9003426806702424,90.03426806702424
PC6,0.03949591811742844,3.949591811742844,0.9398385987876708,93.98385987876708
PC7,0.015490126146780765,1.5490126146780765,0.9553287249344516,95.53287249344517
PC8,0.01231961537138605,1.231961537138605,0.9676483403058377,96.76483403058377
PC9,0.010583265416775355,1.0583265416775356,0.978231605722613,97.8231605722613
PC10,0.007472652862105989,0.7472652862105988,0.985704258584719,98.57042585847189
