PC1,PC2,PC3,PC4,feature
0.2868006552043669,-0.2688051241255179,-0.12600341927417072,0.16299046877573928,mean_pm25
0.32176733109297895,-0.12592416488349212,0.07717506699698698,-0.2852809573644096,mean_pm10
0.25966850360659544,0.34813219931325046,0.18958556991947265,0.014873844494597372,mean_no2
-0.18850718186603257,-0.26543587165963106,0.4677359255271939,-0.11202175231979594,mean_o3
0.2608365925062566,-0.27527259069846627,-0.1905317776981445,0.25379250831961025,std_pm25
0.2976138905122612,-0.18021878072453118,-0.017539691174010916,-0.10013096859973704,std_pm10
0.2379760548479939,0.3434894393338333,0.20998085971749256,0.09151369643104743,std_no2
0.048748923748590134,-0.07569082735819774,0.39175876843738366,0.5665335594396488,std_o3
0.28230421245624654,-0.2745407230968463,-0.15314247695710492,0.2053314732422472,winter_pm25
0.31905526043148924,-0.17047022133286988,-0.008023303595260135,-0.10650405141843745,winter_pm10
0.25921695519226406,0.3205138627820638,0.20775638895372878,0.11055859678671541,winter_no2
-0.2377292897399568,-0.17387558184064675,0.236432894560051,-0.3355545657977361,winter_o3
0.24467162796239664,-0.20628941273001286,0.11850938492606064,-0.1644440633115506,summer_pm25
0.2587942207174707,-0.08360985875174695,0.19885420577403298,-0.4657780008939354,summer_pm10
0.24133434503705575,0.3443919398769041,0.1765791825103503,-0.09054747509651477,summer_no2
-0.07313118644974635,-0.2876116785724661,0.5309640008930114,0.21211520762997021,summer_o3
