location_id,station_name,city,country_code,country_name,latitude,longitude,PC1,PC2,PC3,PC4,UMAP1,UMAP2,mean_pm25,mean_pm10,mean_no2,mean_o3,winter_pm25,summer_pm25,winter_o3,summer_o3,region
31,Wekerom-Riemterdijk,Wekerom,NL,Holandia,52.111599999999996,5.70842,-1.7379848501948973,-0.24821002051000168,-0.32509059205086843,-0.6071466181824459,9.320709,8.396656,7.677873536299766,17.73301098901099,9.433338391502275,54.11951298701299,9.0621768707483,6.237992277992278,44.22116751269036,62.15340909090909,Europa Środkowa
33,Zaanstad-Hemkade,Zaandam,NL,Holandia,52.420230000140556,4.832060000156797,0.4759901302026349,1.6651543313000627,0.7884159959923901,0.2696036416423803,3.9767158,11.211963,9.568817472919314,16.84984560570071,21.998713105076742,51.39464,11.69357142857143,8.170128309942317,38.12818992248062,64.3678529424119,Europa Zachodnia
41,Groningen-Europaweg,Groningen,NL,Holandia,53.2178,6.5789,-0.8575463123916958,0.6481516135975218,0.12436967607007081,-0.32666087677233036,8.145104,10.47244,7.2766252609603335,18.69598979591837,15.386040609137055,51.39464,7.08512918660287,6.442090566037736,38.12818992248062,64.3678529424119,Europa Środkowa
44,Heerlen-Jamboreepad,Heerlen,NL,Holandia,50.90031700019946,5.986852999872599,-1.9623934469493916,0.011587167723234133,-0.26345067626770946,-0.6526477511230654,9.453354,8.385404,6.7360970464135015,16.00268317853457,9.861523605150214,53.71949494949495,7.809288461538462,6.17947265625,45.15681415929204,62.66856060606061,Europa Środkowa
51,Wieringerwerf-Medemblikkerweg,Wieringerwerf,NL,Holandia,52.803700000000006,5.05051,-2.482186947370512,-0.16857459172611827,0.00890565962691666,-0.8085942834058302,10.1752,8.133071,7.411637873754152,14.397144432194045,8.812550561797753,60.439956989247314,8.125828877005347,6.0932916666666666,51.718820512820514,65.3342105263158,Europa Środkowa
52,Rotterdam-Oost Sidelinge A13,Rotterdam,NL,Holandia,51.938472000211014,4.430691999983553,0.4512393429153017,1.9973301893635962,0.8582367268567922,0.32028641242090555,3.8190455,11.245794,8.942870928829915,17.50980815347722,24.038675417661096,51.39464,11.34859375,6.876513409961686,38.12818992248062,64.3678529424119,Europa Zachodnia
55,Utrecht-Kardinaal de Jongweg,Utrecht,NL,Holandia,52.105,5.12446,-0.5419799650145805,1.1822998734162833,-0.2817496902780189,0.228606179678339,5.6211762,10.4884205,8.885134854771785,16.31679918450561,16.90392628205128,47.91220413122721,10.755777777777778,6.601262357414449,37.81353947368421,58.07701149425287,Europa Środkowa
58,Zegveld-Oude Meije,Zegveld,NL,Holandia,52.137949999962665,4.83819000034937,-1.5968512097002314,-0.39651940513160727,-0.9259495899101584,-0.36117921874448344,9.062078,8.213453,9.568817472919314,15.197370737073706,8.816666666666668,51.96060215053763,11.69357142857143,8.170128309942317,41.293128205128205,60.03484848484849,Europa Zachodnia
63,Philippine-Stelleweg,Philippine,NL,Holandia,51.29449999999999,3.7494799999999997,-0.9962254976647966,-0.1389834892225449,-0.344434440742999,-0.8064528075774754,7.493603,9.057062,9.568817472919314,17.8368501529052,10.402275449101797,53.444032421479235,11.69357142857143,8.170128309942317,46.34609865470852,60.02406015037594,Europa Zachodnia
71,Biest Houtakker-Biestsestraat,Houtakker,NL,Holandia,51.51838800001479,5.148450000227909,-0.727564333217922,-0.20650024456080962,-0.3759713608496276,-0.7370205796458463,7.537093,9.059023,10.188691823899372,17.720982599795292,11.709128205128204,51.784143145161295,12.206605504587156,8.364174242424241,43.05416666666667,59.658490566037734,Europa Środkowa
76,De Zilk-Vogelaarsdreef,De Zilk,NL,Holandia,52.296555999830005,4.51081699998525,-2.1131614434025083,-0.4712469116834908,0.23887217338356173,-0.5091371120911471,9.442407,8.173077,8.022384140061792,15.666714285714285,9.26815065913371,59.375838383838385,8.65860465116279,6.788690566037736,50.266211453744496,66.3171102661597,Europa Zachodnia
77,Hoek v. Holland-Berghaven,Hoek v. Holland,NL,Holandia,51.97783000007194,4.121903000365913,0.6071352696547476,2.0674480174673397,0.7104390804108269,0.42579681044187967,3.8107295,11.234374,9.271990267639902,17.46279661016949,23.8360423216445,51.48595618556701,11.813282442748092,7.100609561752988,36.85708270676692,60.33466135458168,Europa Zachodnia
80,Amsterdam-Van Diemenstraat,Amsterdam,NL,Holandia,52.389983000188224,4.88781099987638,-0.7700486241498511,0.3325169437436576,-0.16113277796313005,0.2395401094483157,8.079791,10.23619,9.279772998805257,17.04091557669441,14.078098190672772,51.39464,12.26345323741007,6.87147859922179,38.12818992248062,64.3678529424119,Europa Zachodnia
82,Haarlem-Schipholweg,Haarlem,NL,Holandia,52.3705,4.64232,-0.08723744161737317,0.4132651159383975,0.11185322853542268,-0.7796384403610216,6.2343035,10.401708,9.568817472919314,20.18013197969543,16.24399022801303,51.127161616161615,11.69357142857143,8.170128309942317,44.98236842105263,59.98759398496241,Europa Zachodnia
85,Hellendoorn-Luttenbergerweg,Hellendoorn,NL,Holandia,52.38829100007745,6.402899999997742,-1.738926819711787,-0.7360286219609916,-1.1274519147064348,-0.48959937575630436,9.118171,8.035359,9.568817472919314,15.612445820433438,7.458805237315875,51.590596562184025,11.69357142857143,8.170128309942317,43.474845814977975,59.67137404580153,Europa Środkowa
93,Nijmegen-Graafseweg,Nijmegen,NL,Holandia,51.8413800001826,5.8577719997925275,0.3284424025087779,1.0956611733440758,0.6186593269541208,-0.26926847149332944,5.4844728,10.937897,9.757226310272536,19.36396551724138,21.14324649298597,51.39464,11.409631818181818,8.075155967078189,38.12818992248062,64.3678529424119,Europa Środkowa
95,Amsterdam-Vondelpark,Amsterdam,NL,Holandia,52.35971400001388,4.866208000411839,-1.0426076361867287,0.5239375334120565,-0.10491439649757217,0.23592161905546816,8.224821,10.287309,8.757436823104694,15.51208538587849,14.078098190672772,51.39464,10.504926470588236,6.883873517786561,38.12818992248062,64.3678529424119,Europa Zachodnia
96,Wijk aan Zee-Burgemeester Rothestraat,Wijk aan Zee,NL,Holandia,52.49399200004851,4.601986000379324,-0.19285995020687444,0.022018861308310482,-0.08918103377423355,-0.11200016544062324,6.4755707,10.167646,9.589415971394518,20.261013513513515,14.078098190672772,51.39464,12.793165467625899,7.108435114503817,38.12818992248062,64.3678529424119,Europa Zachodnia
97,IJmuiden-Kanaaldijk,IJmuiden,NL,Holandia,52.46304000005105,4.60177600031704,-0.7308832780637635,0.34480031673917727,-0.07422236116641408,0.06871487292565075,7.9776273,10.264863,9.04066185318893,17.55057627118644,14.078098190672772,51.39464,11.82529411764706,7.049693486590038,38.12818992248062,64.3678529424119,Europa Zachodnia
98,Amsterdam-Westerpark,Amsterdam,NL,Holandia,52.39397200025616,4.870156999790721,-1.3616715090181133,0.7451883670112202,-0.17605557347814743,0.4134737391904842,8.706339,10.391719,7.748968973747017,14.827923588039868,14.078098190672772,51.39464,9.664543478260871,5.760072519083969,38.12818992248062,64.3678529424119,Europa Zachodnia
100,Badhoevedorp-Sloterweg,Badhoevedorp,NL,Holandia,52.33400300025121,4.7740060003231,-0.32132125517824983,1.489790961156364,0.4517414780988511,0.3759995496989352,4.687277,11.232668,8.783156626506024,15.645317725752507,19.67734117647059,51.39464,11.23639705882353,6.7718461538461545,38.12818992248062,64.3678529424119,Europa Zachodnia
101,Amsterdam-Hoogtij,Amsterdam,NL,Holandia,52.42801700027339,4.7734780002434976,-0.10297319885257054,1.8807995326758296,0.5627803004480841,0.7259413308770456,4.188903,11.332179,8.898442330558858,14.259011904761904,21.423725029377202,51.39464,11.96431654676259,6.847900763358779,38.12818992248062,64.3678529424119,Europa Zachodnia
102,Amsterdam-Einsteinweg,Amsterdam,NL,Holandia,52.381331000231505,4.845232999687698,1.1365993100129077,2.8142906392565212,1.3556363662209447,0.24816918236921273,3.1458101,10.985538,9.299239182692308,17.788226600985222,31.83891252955083,51.39464,11.46485294117647,7.15104296875,38.12818992248062,64.3678529424119,Europa Zachodnia
137,Harrow - Stanmore,Harrow,GB,Wielka Brytania,51.617327,-0.298775,-0.5570745682546895,1.1584962453427008,0.2838955736362052,0.7028813905722484,4.6165986,11.344805,9.568817472919314,13.454607843137254,16.56794661190965,51.39464,11.69357142857143,8.170128309942317,38.12818992248062,64.3678529424119,Europa Zachodnia
141,London Harlington - UKA00472,London,GB,Wielka Brytania,51.48878999962389,-0.44161399993549455,-1.0426877079505754,2.567138824987382,-0.07900783994229836,0.48405043593943026,4.640304,10.705602,6.712802672147996,12.042263959390862,22.03635,47.203900999999995,7.0088445595854925,5.743140794223827,38.12818992248062,56.011541666666666,Europa Zachodnia
146,Southwark - A2 Old Kent Road,Southwark,GB,Wielka Brytania,51.4804994936467,-0.0595528932573422,0.4892156593178024,1.986825586867251,1.0139785617065078,-0.08607120660860468,3.8966086,11.222367,8.494393004115226,18.864187689202826,23.175171026156942,51.39464,9.082284482758622,6.959433198380567,38.12818992248062,64.3678529424119,Europa Zachodnia
147,Greenwich - Eltham,Greenwich,GB,Wielka Brytania,51.45258,0.070766,-2.366964807508328,1.1351398847161855,-1.3521815556519683,0.12200810011152738,10.356227,9.380743,6.4208256880733945,10.693636363636363,9.493051204819277,47.913254437869824,8.52818181818182,5.816173913043478,36.50271186440678,53.954918032786885,Europa Zachodnia
148,Camden - Bloomsbury,Camden,GB,Wielka Brytania,51.52228699999999,-0.125848,-0.5163394828718445,2.423230066631072,-0.12507072424602372,0.030544852601790434,4.7016525,10.61098,7.831634121274409,14.182396359959554,22.426436436436436,47.983887,9.137189189189188,6.174432989690722,40.90587786259542,55.418931297709925,Europa Zachodnia
149,Ealing Horn Lane,London,GB,Wielka Brytania,51.51895,-0.265617,2.3313266504996504,1.1886518636793064,1.6039929254963428,-1.8192302630956492,2.8522298,9.885997,9.568817472919314,28.42384769539078,26.4200702811245,51.39464,11.69357142857143,8.170128309942317,38.12818992248062,64.3678529424119,Europa Zachodnia
150,London Haringey Priory Park South - UKA00568,London,GB,Wielka Brytania,51.58412799971813,-0.1252540000016108,-2.1235790397957484,1.7809726537005195,-0.3334752756861824,0.5217257846661988,10.197767,10.572396,5.976454183266932,10.894466403162056,15.197436419125127,49.61868257261411,6.997096774193548,5.486521739130435,38.192096774193544,59.8592885375494,Europa Zachodnia
151,Tower Hamlets - Mile End Road,Tower Hamlets,GB,Wielka Brytania,51.5225294860844,-0.0421550991900347,-0.5303521809560179,1.759137902130147,0.6488986289819377,-0.10188389934432425,5.152263,11.252352,6.58910593220339,16.909750369800115,21.149839679358717,51.39464,7.084827586206897,6.179438202247192,38.12818992248062,64.3678529424119,Europa Zachodnia
152,Camden - Swiss Cottage,Camden,GB,Wielka Brytania,51.544219,-0.175284,1.3140341539140254,2.985290158157843,1.6664712973193017,-0.03190524249199315,3.0871415,10.955363,9.543244897959182,18.48381763527054,33.053266533066136,51.39464,10.326764705882354,8.533103448275861,38.12818992248062,64.3678529424119,Europa Zachodnia
153,London Hillingdon - UKA00266,London,GB,Wielka Brytania,51.49632999971629,-0.4608609995824734,-0.1907001357094862,3.715235483299797,-1.2853277226610833,-0.24717975546891577,4.6559258,10.229247,6.850980592441267,13.235561172901921,25.04114114114114,37.188550000000006,7.760571428571429,6.120949720670391,33.926313364055304,42.38314606741573,Europa Zachodnia
154,London Marylebone Road - UKA00315,Westminster,GB,Wielka Brytania,51.52252999942243,-0.15461100008049963,2.790702674044162,5.1522464146032805,-1.1648810467664479,-0.9367938534736756,4.3171735,9.953427,10.125990721649483,19.046565656565654,37.64687,29.9411,10.964723926380367,9.21860124610592,25.709251101321588,32.93363636363637,Europa Zachodnia
155,Kensington and Chelsea - North Ken,Kensington and Chelsea,GB,Wielka Brytania,51.5210467476039,-0.213492139585065,-1.7824676330395417,1.3910847617259852,-0.11145972130176547,0.18056883885997424,10.060862,10.080089,7.132634575569358,12.353180428134555,15.050214631685165,52.21214,7.440113636363637,6.09296992481203,42.840042372881356,60.7356862745098,Europa Zachodnia
157,Bexley - Slade Green,Bexley,GB,Wielka Brytania,51.4659832746662,0.184877126994369,-1.5945894041677977,1.2491883808673714,-0.28688642710069207,-0.1088411521452593,9.9449835,9.577209,7.683178534571724,12.96866598778004,15.323236180904523,51.213033033033035,8.264497607655501,6.419740740740741,45.28504273504274,59.53805970149254,Europa Zachodnia
