location_id,mean_no2,mean_o3,mean_pm10,mean_pm25,std_no2,std_o3,std_pm10,std_pm25,winter_no2,winter_o3,winter_pm10,winter_pm25,summer_no2,summer_o3,summer_pm10,summer_pm25,station_name,city,country_code,country_name,latitude,longitude
31,9.433338391502275,54.11951298701299,17.73301098901099,7.677873536299766,5.0591834485885325,19.484260288863034,7.48401967126778,4.362060076723479,11.733664122137403,44.22116751269036,18.707938144329898,9.0621768707483,7.193705583756346,62.15340909090909,16.783436293436292,6.237992277992278,Wekerom-Riemterdijk,Wekerom,NL,Holandia,52.111599999999996,5.70842
33,21.998713105076742,51.39464,16.84984560570071,9.568817472919314,13.136284098856434,20.176620026874517,8.005353609981432,5.599787690323896,28.314930555555556,38.12818992248062,18.10706293706294,11.69357142857143,17.66892307692308,64.3678529424119,15.586206896551724,8.170128309942317,Zaanstad-Hemkade,Zaandam,NL,Holandia,52.420230000140556,4.832060000156797
41,15.386040609137055,51.39464,18.69598979591837,7.2766252609603335,7.001116585887962,20.176620026874517,8.084196183069244,4.581451285495406,16.72578431372549,38.12818992248062,20.35013392857143,7.08512918660287,12.973990147783251,64.3678529424119,17.254296577946768,6.442090566037736,Groningen-Europaweg,Groningen,NL,Holandia,53.2178,6.5789
44,9.861523605150214,53.71949494949495,16.00268317853457,6.7360970464135015,5.682485564413179,19.070524123401245,7.051461194901249,4.475994520705914,11.761764705882353,45.15681415929204,15.452914798206278,7.809288461538462,7.5945967741935485,62.66856060606061,17.11263358778626,6.17947265625,Heerlen-Jamboreepad,Heerlen,NL,Holandia,50.90031700019946,5.986852999872599
51,8.812550561797753,60.439956989247314,14.397144432194045,7.411637873754152,6.197929440313103,17.343954757463308,5.82475076957645,4.419293476579015,13.959259259259259,51.718820512820514,15.288795811518323,8.125828877005347,6.7931210191082805,65.3342105263158,14.282075471698112,6.0932916666666666,Wieringerwerf-Medemblikkerweg,Wieringerwerf,NL,Holandia,52.803700000000006,5.05051
52,24.038675417661096,51.39464,17.50980815347722,8.942870928829915,12.484857706799726,20.176620026874517,6.9553155650199665,5.629823660926447,31.671818181818185,38.12818992248062,20.017022900763358,11.34859375,18.897000000000002,64.3678529424119,15.605555555555556,6.876513409961686,Rotterdam-Oost Sidelinge A13,Rotterdam,NL,Holandia,51.938472000211014,4.430691999983553
55,16.90392628205128,47.91220413122721,16.31679918450561,8.885134854771785,9.035165602514544,20.275790136130603,6.404572660905301,5.376143230973946,22.11709677419355,37.81353947368421,17.82471111111111,10.755777777777778,11.988105263157893,58.07701149425287,15.363650190114068,6.601262357414449,Utrecht-Kardinaal de Jongweg,Utrecht,NL,Holandia,52.105,5.12446
58,8.816666666666668,51.96060215053763,15.197370737073706,9.568817472919314,4.779082013374181,18.302365310408554,5.994456159088964,5.599787690323896,10.751216216216216,41.293128205128205,16.012566844919785,11.69357142857143,7.481756097560975,60.03484848484849,14.58528735632184,8.170128309942317,Zegveld-Oude Meije,Zegveld,NL,Holandia,52.137949999962665,4.83819000034937
63,10.402275449101797,53.444032421479235,17.8368501529052,9.568817472919314,7.591398774094497,18.131781393508767,7.413389525177586,5.599787690323896,14.724523809523808,46.34609865470852,17.66550458715596,11.69357142857143,9.347190082644628,60.02406015037594,16.98212121212121,8.170128309942317,Philippine-Stelleweg,Philippine,NL,Holandia,51.29449999999999,3.7494799999999997
71,11.709128205128204,51.784143145161295,17.720982599795292,10.188691823899372,6.128378024105492,19.162266767812227,7.647090793176326,5.753217724373587,12.709909909909909,43.05416666666667,17.176696832579186,12.206605504587156,12.06980694980695,59.658490566037734,19.249049429657795,8.364174242424241,Biest Houtakker-Biestsestraat,Houtakker,NL,Holandia,51.51838800001479,5.148450000227909
